序号,姓名,总数
1,约翰·斯托克顿,3265
2,杰森·基德,2684
3,克里斯·保罗,2657
4,迈克尔·乔丹,2514
5,加里·佩顿,2445
6,莫里斯·奇克斯,2310
7,斯科蒂·皮蓬,2307
8,勒布朗·詹姆斯,2298
9,克莱德·德雷克斯勒,2207
10,哈基姆·奥拉朱旺,2162
11,埃尔文·罗伯特森,2112
12,卡尔·马龙,2085
13,穆奇·布雷洛克,2075
14,阿伦·艾弗森,1983
15,德里克·哈珀,1957
16,科比·布莱恩特,1944
17,拉塞尔·威斯布鲁克,1897
18,伊塞亚·托马斯,1861
19,凯文·加内特,1859
20,安德烈·伊戈达拉,1765
21,肖恩·马里昂,1759
22,保罗·皮尔斯,1752
23,埃尔文·约翰逊,1724
24,罗恩·阿泰斯特,1721
25,罗恩·哈珀,1716
26,拉斐特·利弗,1666
27,查尔斯·巴克利,1648
28,詹姆斯·哈登,1642
29,古斯·威廉姆斯,1638
30,特雷沃·阿里扎,1628
31,赫西·霍金斯,1622
32,德怀恩·韦德,1620
33,埃迪·琼斯,1620
34,罗德·斯特里克兰,1616
35,赛迪斯·杨,1612
36,马克·杰克逊,1608
37,杰森·特里,1603
38,特里·波特,1583
39,道格·里弗斯,1563
40,迈克·康利,1563
41,拉里·伯德,1556
42,道格·克里斯蒂,1555
43,安德烈·米勒,1546
44,内特·麦克米兰,1544
45,杰夫·霍纳塞克,1536
46,拜伦·戴维斯,1530
47,文斯·卡特,1530
48,克里斯·穆林,1530
49,肯德·吉尔,1519
50,拉简·隆多,1518
51,朱利叶斯·欧文,1508
52,雷吉·米勒,1505
53,斯蒂芬·库里,1501
54,保罗·乔治,1497
55,凯尔·洛瑞,1485
56,丹尼斯·约翰逊,1477
57,迈克尔·雷·理查德森,1463
58,雷·阿伦,1451
59,杰罗米·科尔西,1439
60,朱·霍勒迪,1430
61,蒂姆·哈达威,1428
62,蒙塔·埃利斯,1409
63,兰迪·史密斯,1403
64,克里弗德·罗宾逊,1402
65,马努·吉诺比利,1392
66,大卫·罗宾逊,1388
67,多米尼克·威尔金斯,1378
68,本·华莱士,1369
69,马格西·博格斯,1369
70,德里克·费舍尔,1352
71,查尔斯·奥克利,1351
72,里基·格林,1348
73,吉米·巴特勒,1348
74,奎因·巴克纳,1337
75,保罗·米尔萨普,1327
76,TR·邓恩,1316
77,拉特里尔·斯普雷维尔,1294
78,阿尔万·亚当斯,1289
79,弗拉德·迪瓦茨,1288
80,大卫·韦斯利,1280
81,沃尔特·戴维斯,1280
82,约翰·卢卡斯,1273
83,肯尼·安德森,1258
84,特里·卡明斯,1255
85,格兰特·希尔,1248
86,鲁迪·盖伊,1231
87,布莱文·奈特,1229
88,泰隆·科宾,1228
89,里基·卢比奥,1226
90,拜伦·斯科特,1224
91,卡梅隆·安东尼,1223
92,罗伯特·帕里什,1218
93,米奇·里奇蒙德,1211
94,德克·诺维茨基,1210
95,雷吉·托伊斯,1206
96,杰拉德·华莱士,1200
97,格兰特·朗,1199
98,雷·威廉姆斯,1198
99,克里斯·韦伯,1197
100,科怀·伦纳德,1196
