序号,球员,总数
1,哈基姆·奥拉朱旺,3830
2,迪肯贝·穆托姆博,3289
3,卡里姆·阿布杜尔-贾巴尔,3189
4,马克·伊顿,3064
5,蒂姆·邓肯,3020
6,大卫·罗宾逊,2954
7,帕特里克·尤因,2894
8,沙奎尔·奥尼尔,2732
9,特里·罗林斯,2542
10,罗伯特·帕里什,2361
11,阿朗佐·莫宁,2356
12,马库斯·坎比,2331
13,德怀特·霍华德,2228
14,本·华莱士,2137
15,肖恩·布拉德利,2119
16,马努特·波尔,2086
17,乔治·约翰逊,2082
18,凯文·加内特,2037
19,拉里·南斯,2027
20,布鲁克·洛佩斯,1969
21,西奥·拉特利夫,1968
22,保罗·加索尔,1941
23,埃尔顿·布兰德,1828
24,杰梅因·奥尼尔,1820
25,埃尔文·海耶斯,1771
26,安东尼·戴维斯,1766
27,赛尔吉·伊巴卡,1759
28,阿蒂斯·吉尔摩,1747
29,摩西·马龙,1733
30,约什·史密斯,1713
31,凯文·麦克海尔,1690
32,鲁迪·戈贝尔,1656
33,弗拉德·迪瓦茨,1631
34,赫伯·威廉姆斯,1605
35,埃尔登·坎贝尔,1602
36,本奥伊特·本杰明,1581
37,德安德烈·乔丹,1548
38,萨缪尔·戴勒姆波特,1546
39,维恩·库珀,1535
40,卡尔迪维尔·琼斯,1517
41,阿尔顿·李斯特,1473
42,安德烈·基里连科,1461
43,拉希德·华莱士,1460
44,霍特·罗德·威廉姆斯,1456
45,马克·韦斯特,1403
46,埃里克·丹皮尔,1398
47,克里弗德·罗宾逊,1390
48,特里·泰勒,1342
49,泰森·钱德勒,1335
50,迈尔斯·特纳,1332
51,扎伊德鲁纳斯·伊尔戈斯卡斯,1327
52,朱利叶斯·欧文,1293
53,格雷格·奥斯特塔格,1293
54,德克·诺维茨基,1281
55,肖恩·坎普,1279
56,艾尔·霍福德,1271
57,戴尔·戴维斯,1270
58,詹姆斯·唐纳森,1267
59,贾维尔·麦基,1258
60,马克·加索尔,1254
61,肖恩·马里昂,1233
62,哈维·凯金斯,1226
63,凯文·杜兰特,1219
64,克里斯·韦伯,1200
65,阿多纳尔·福耶尔,1193
66,波·奥特洛,1193
67,拉马库斯·阿尔德里奇,1187
68,埃尔摩尔·史密斯,1183
69,萨姆·莱西,1160
70,鲍勃·麦卡杜,1147
71,罗伊·希伯特,1146
72,卡尔·马龙,1145
73,哈桑·怀特塞德,1143
74,安德烈·德拉蒙德,1140
75,霍勒斯·格兰特,1136
76,查尔斯·琼斯,1134
77,勒布朗·詹姆斯,1128
78,乔·巴里·卡罗尔,1122
79,丹·朗德菲尔德,1117
80,P.J.布朗,1116
81,里克·施密茨,1111
82,布兰登·海伍德,1109
83,安东尼奥·麦克戴斯,1102
84,鲍勃·兰尼尔,1100
85,巴克·威廉姆斯,1100
86,安德鲁·朗,1099
87,艾尔·杰弗森,1093
88,安德鲁·博古特,1091
89,埃尔文·约翰逊,1087
90,瑟尔·贝利,1086
91,俾斯麦·比永博,1077
92,迈克尔·汤普森,1073
93,阿玛雷·斯塔德迈尔,1054
94,德里克·科尔曼,1051
95,杰克·希克马,1048
96,保罗·米尔萨普,1045
97,罗宾·洛佩兹,1045
98,罗伯特·霍里,1035
99,比尔·沃顿,1034
100,克里斯·达德利,1027
